uuid,coordinate,region,world,feature,description
8lPlXgvT,E2S1,Vicious Crags,The Lands of Vo'il,Abandoned Village,"> The Lands of Vo'il > Vicious Crags > Hex E2S1 The remains of a ruined fort guard the mountain pass, the frost-rimed wooden palisades and towers cast down decades ago, much like the society who built them. The burned remains of a small village can be found on the edge of the cliffs, at the end of a winding steep trail. Random encounter There's a 1 in 6 chance when exploring (or 2 in 6 chance if camping overnight) to be ambushed or preyed upon by: 1d4 Encounter Stats 1 Goblins (10) CR: 1/4 (50 XP) AC: 15 (leather armor,shield) HP: (2d6) Speed: Walk 30 ft. STR DEX CON INT WIS CHA 8 -1 14 +2 10 10 8 -1 8 -1 Senses: darkvision 60 ft. Alignment: Neutral Evil Languages: Common, Goblin Nimble Escape: The goblin can take the Disengage or Hide action as a bonus action on each of its turns. Actions Scimitar: +4 to hit, reach 5 ft., one target. Inflicts 5 ( 1d6 + 2 ) slashing damage. Shortbow: +4 to hit, range 80/320 ft., one target. Inflicts 5 ( 1d6 + 2 ) piercing damage. 2 Berserker CR: 2 (450 XP) AC: 13 (hide armor) HP: (9d8 + 27) Speed: Walk 30 ft. STR DEX CON INT WIS CHA 16 +3 12 +1 17 +4 9 -1 11 +1 9 -1 Alignment: Chaotic Good Neutral Evil Languages: any one language (usually Common) Reckless: At the start of its turn, the berserker can gain advantage on all melee weapon attack rolls during that turn, but attack rolls against it have advantage until the start of its next turn. Actions Greataxe: +5 to hit, reach 5 ft., one target. Inflicts 9 ( 1d12 + 3 ) slashing damage. 3 Gnolls (7) CR: 1/2 (100 XP) AC: 15 (hide armor,shield) HP: (5d8) Speed: Walk 30 ft. STR DEX CON INT WIS CHA 14 +2 12 +1 11 +1 6 -2 10 7 -2 Senses: darkvision 60 ft. Alignment: Chaotic Evil Languages: Gnoll Rampage: When the gnoll reduces a creature to 0 hit points with a melee attack on its turn, the gnoll can take a bonus action to move up to half its speed and make a bite attack. Actions Bite: +4 to hit, reach 5 ft., one creature. Inflicts 4 ( 1d4 + 2 ) piercing damage. Spear: +4 to hit, reach 5 ft. or range 20/60 ft., one target. Inflicts 5 ( 1d6 + 2 ) piercing damage, or 6 ( 1d8 + 2 ) piercing damage if used with two hands to make a melee attack. Longbow: +3 to hit, range 150/600 ft., one target. Inflicts 5 ( 1d8 + 1 ) piercing damage. 4 Stirges (2) CR: 1/8 (25 XP) AC: 14 (natural armor) HP: (1d4) Speed: Walk 10 ft. Fly 40 ft. STR DEX CON INT WIS CHA 4 -3 16 +3 11 +1 2 -4 8 -1 6 -2 Senses: darkvision 60 ft. Actions Blood Drain: +5 to hit, reach 5 ft., one creature. Inflicts 5 ( 1d4 + 3 ) piercing damage, and the stirge attaches to the target. While attached, the stirge doesn't attack. Instead, at the start of each of the stirge's turns, the target loses 5 ( 1d4 + 3 ) hit points due to blood loss., The stirge can detach itself by spending 5 feet of its movement. It does so after it drains 10 hit points of blood from the target or the target dies. A creature, including the target, can use its action to detach the stirge. Regional Weather 2d6 All Seasons 2 Snowstorm 3-4 Heavy Snow 5-9 Snowy 10-11 Fog & Frost 12 Freezing † There's a 1-in-6 chance once a day for an avalanche"
uj9Tlfgz,E2N1,Vicious Crags,The Lands of Vo'il,Altar,"> The Lands of Vo'il > Vicious Crags > Hex E2N1 Coniferous trees shroud the trail, snowy boughs creaking beneath the weight of their wintery burden. A single post marks a fork in the ancient road, the signage weathered beyond legibility. The crumbling ruins of an ancient altar can be found near the base of a steep cliff. Random encounter There's a 1 in 6 chance when exploring (or 2 in 6 chance if camping overnight) to be ambushed or preyed upon by: 1d4 Encounter Stats 1 Lions (2) CR: 1 (200 XP) AC: 12 HP: (4d10 + 4) Speed: Walk 50 ft. STR DEX CON INT WIS CHA 17 +4 15 +3 13 +2 3 -4 12 +1 8 -1 Keen Smell: The lion has advantage on Wisdom ( Perception ) checks that rely on smell. Pack Tactics: The lion has advantage on an attack roll against a creature if at least one of the lion's allies is within 5 feet of the creature and the ally isn't incapacitated . Pounce: If the lion moves at least 20 feet straight toward a creature and then hits it with a claw attack on the same turn, that target must succeed on a DC13 Strength saving throw or be knocked prone . If the target is prone , the lion can make one bite attack against it as a bonus action. Running Leap: With a 10-foot running start, the lion can long jump up to 25 feet. Actions Bite: +5 to hit, reach 5 ft., one target. Inflicts 7 ( 1d8 + 3 ) piercing damage. Claw: +5 to hit, reach 5 ft., one target. Inflicts 6 ( 1d6 + 3 ) slashing damage. 2 Berserkers (3) CR: 2 (450 XP) AC: 13 (hide armor) HP: (9d8 + 27) Speed: Walk 30 ft. STR DEX CON INT WIS CHA 16 +3 12 +1 17 +4 9 -1 11 +1 9 -1 Alignment: Chaotic Good Neutral Evil Languages: any one language (usually Common) Reckless: At the start of its turn, the berserker can gain advantage on all melee weapon attack rolls during that turn, but attack rolls against it have advantage until the start of its next turn. Actions Greataxe: +5 to hit, reach 5 ft., one target. Inflicts 9 ( 1d12 + 3 ) slashing damage. 3 Gladiators (7) CR: 5 (1800 XP) AC: 16 (studded leather armor,shield) HP: (15d8 + 45) Speed: Walk 30 ft. STR DEX CON INT WIS CHA 18 +4 15 +3 16 +3 10 12 +1 15 +3 Saving Throws: Dex +5, Con +6 Alignment: Any Languages: any one language (usually Common) Brave: The gladiator has advantage on saving throws against being frightened . Brute: A melee weapon deals one extra die of its damage when the gladiator hits with it (included in the attack). Actions Multiattack: The gladiator makes three melee attacks or two ranged attacks. Spear: +7 to hit, reach 5 ft. and range 20/60 ft., one target. Inflicts 11 ( 2d6 + 4 ) piercing damage, or 13 ( 2d8 + 4 ) piercing damage if used with two hands to make a melee attack. Shield Bash: +7 to hit, reach 5 ft., one creature. Inflicts 9 ( 2d4 + 4 ) bludgeoning damage. If the target is a Medium or smaller creature, it must succeed on a DC15 Strength saving throw or be knocked prone . 4 Griffons (3) CR: 2 (450 XP) AC: 12 HP: (7d10 + 21) Speed: Walk 30 ft. Fly 80 ft. STR DEX CON INT WIS CHA 18 +4 15 +3 16 +3 2 -4 13 +2 8 -1 Senses: darkvision 60 ft. Keen Sight: The griffon has advantage on Wisdom ( Perception ) checks that rely on sight. Actions Multiattack: The griffon makes two attacks: one with its beak and one with its claws. Beak: +6 to hit, reach 5 ft., one target. Inflicts 8 ( 1d8 + 4 ) piercing damage. Claws: +6 to hit, reach 5 ft., one target. Inflicts 11 ( 2d6 + 4 ) slashing damage. Regional Weather 2d6 All Seasons 2 Snowstorm 3-4 Heavy Snow 5-9 Snowy 10-11 Fog & Frost 12 Freezing † There's a 1-in-6 chance once a day for an avalanche"
4fWmswMX,E3,Vicious Crags,The Lands of Vo'il,Field of Boulders,"> The Lands of Vo'il > Vicious Crags > Hex E3 Multiple plateaus separated by seemingly bottomless chasms are connected with fragile rope bridges. The strong wind swings the brides from side to side, making crossing them a terrifying experience. A field of carved boulders stretches near the base of the tallest mountain.  like an abandoned sculpture garden. Each rock has been carved into a face, the features exaggerated and distorted like a disturbing reflection. A Stone Golem wanders the boulder field, ambushing those who come to investigate. CR: 10 (5900 XP) AC: 17 (natural armor) HP: (17d10 + 85) Speed: Walk 30 ft. STR DEX CON INT WIS CHA 22 +6 9 -1 20 +5 3 -4 11 +1 1 -5 Immunities: poison and psychic; bludgeoning, piercing and slashing from nonmagical attacks that aren't adamantine Senses: darkvision 120 ft. Languages: understands the languages of its creator but can't speak Immutable Form: The golem is immune to any spell or effect that would alter its form. Magic Resistance: The golem has advantage on saving throws against spells and other magical effects. Magic Weapons: The golem's weapon attacks are magical. Actions Multiattack: The golem makes two slam attacks. Slam: +10 to hit, reach 5 ft., one target. Inflicts 19 ( 3d8 + 6 ) bludgeoning damage. Slow : The golem targets one or more creatures it can see within 10 feet of it. Each target must make a DC17 Wisdom saving throw against this magic. On a failed save, a target can't use reactions, its speed is halved, and it can't make more than one attack on its turn. In addition, the target can take either an action or a bonus action on its turn, not both. These effects last for 1 minute. A target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. Regional Weather 2d6 All Seasons 2 Snowstorm 3-4 Heavy Snow 5-9 Snowy 10-11 Fog & Frost 12 Freezing † There's a 1-in-6 chance once a day for an avalanche"
SFPsD52Q,E3S2,Vicious Crags,The Lands of Vo'il,Luminous Plant,"> The Lands of Vo'il > Vicious Crags > Hex E3S2 The skeleton of a huge dragon is fossilised in one of the cliff faces here. Its wings are spread as if it was about to fly to the clouds one last time. A luminous plant grows abundantly near the base of the tallest mountain.  The plant is casting the land in soft, golden light. Random encounter There's a 1 in 6 chance when exploring (or 2 in 6 chance if camping overnight) to be ambushed or preyed upon by: 1d4 Encounter Stats 1 Giant Eagles (2) CR: 1 (200 XP) AC: 13 HP: (4d10 + 4) Speed: Walk 10 ft. Fly 80 ft. STR DEX CON INT WIS CHA 16 +3 17 +4 13 +2 8 -1 14 +2 10 Alignment: Neutral Good Languages: Giant Eagle, understands Common and Auran but can't speak them Keen Sight: The eagle has advantage on Wisdom ( Perception ) checks that rely on sight. Actions Multiattack: The eagle makes two attacks: one with its beak and one with its talons. Beak: +5 to hit, reach 5 ft., one target. Inflicts 6 ( 1d6 + 3 ) piercing damage. Talons: +5 to hit, reach 5 ft., one target. Inflicts 10 ( 2d6 + 3 ) slashing damage. 2 Gnolls (8) CR: 1/2 (100 XP) AC: 15 (hide armor,shield) HP: (5d8) Speed: Walk 30 ft. STR DEX CON INT WIS CHA 14 +2 12 +1 11 +1 6 -2 10 7 -2 Senses: darkvision 60 ft. Alignment: Chaotic Evil Languages: Gnoll Rampage: When the gnoll reduces a creature to 0 hit points with a melee attack on its turn, the gnoll can take a bonus action to move up to half its speed and make a bite attack. Actions Bite: +4 to hit, reach 5 ft., one creature. Inflicts 4 ( 1d4 + 2 ) piercing damage. Spear: +4 to hit, reach 5 ft. or range 20/60 ft., one target. Inflicts 5 ( 1d6 + 2 ) piercing damage, or 6 ( 1d8 + 2 ) piercing damage if used with two hands to make a melee attack. Longbow: +3 to hit, range 150/600 ft., one target. Inflicts 5 ( 1d8 + 1 ) piercing damage. 3 Berserkers (7) CR: 2 (450 XP) AC: 13 (hide armor) HP: (9d8 + 27) Speed: Walk 30 ft. STR DEX CON INT WIS CHA 16 +3 12 +1 17 +4 9 -1 11 +1 9 -1 Alignment: Chaotic Good Neutral Evil Languages: any one language (usually Common) Reckless: At the start of its turn, the berserker can gain advantage on all melee weapon attack rolls during that turn, but attack rolls against it have advantage until the start of its next turn. Actions Greataxe: +5 to hit, reach 5 ft., one target. Inflicts 9 ( 1d12 + 3 ) slashing damage. 4 Orcs (9) CR: 1/2 (100 XP) AC: 13 (hide armor) HP: (2d8 + 6) Speed: Walk 30 ft. STR DEX CON INT WIS CHA 16 +3 12 +1 16 +3 7 -2 11 +1 10 Senses: darkvision 60 ft. Alignment: Chaotic Evil Languages: Common, Orc Aggressive: As a bonus action, the orc can move up to its speed toward a hostile creature that it can see. Actions Greataxe: +5 to hit, reach 5 ft., one target. Inflicts 9 ( 1d12 + 3 ) slashing damage. Javelin: +5 to hit, reach 5 ft. or range 30/120 ft., one target. Inflicts 6 ( 1d6 + 3 ) piercing damage. Regional Weather 2d6 All Seasons 2 Snowstorm 3-4 Heavy Snow 5-9 Snowy 10-11 Fog & Frost 12 Freezing † There's a 1-in-6 chance once a day for an avalanche"
xjRW3Kfr,E3S4,Vicious Crags,The Lands of Vo'il,Dead Adventurers,"> The Lands of Vo'il > Vicious Crags > Hex E3S4 A thundering waterfall drops hundreds of feet down from an overhang in the steep slopes, forming a cloud of raging water at the base. The bodies of four dead adventurers were thrown to rot near the base of the tallest mountain. Random encounter There's a 1 in 6 chance when exploring (or 2 in 6 chance if camping overnight) to be ambushed or preyed upon by: 1d4 Encounter Stats 1 Stirges (3) CR: 1/8 (25 XP) AC: 14 (natural armor) HP: (1d4) Speed: Walk 10 ft. Fly 40 ft. STR DEX CON INT WIS CHA 4 -3 16 +3 11 +1 2 -4 8 -1 6 -2 Senses: darkvision 60 ft. Actions Blood Drain: +5 to hit, reach 5 ft., one creature. Inflicts 5 ( 1d4 + 3 ) piercing damage, and the stirge attaches to the target. While attached, the stirge doesn't attack. Instead, at the start of each of the stirge's turns, the target loses 5 ( 1d4 + 3 ) hit points due to blood loss., The stirge can detach itself by spending 5 feet of its movement. It does so after it drains 10 hit points of blood from the target or the target dies. A creature, including the target, can use its action to detach the stirge. 2 Druids (5) CR: 2 (450 XP) AC: 11,16 with barkskin HP: (5d8 + 5) Speed: Walk 30 ft. STR DEX CON INT WIS CHA 10 12 +1 13 +2 12 +1 15 +3 11 +1 Alignment: Any Languages: Druidic plus any two languages Actions Quarterstaff: +2 to hit ( +4 to hit with shillelagh), reach 5 ft., one target. Inflicts 3 ( 1d6 ) bludgeoning damage, 4 ( 1d8 ) bludgeoning damage if wielded with two hands, or 6 ( 1d8 + 2 ) bludgeoning damage with TAG:spell. 3 Hawk CR: 0 (10 XP) AC: 13 HP: (1d4 - 1) Speed: Walk 10 ft. Fly 60 ft. STR DEX CON INT WIS CHA 5 -3 16 +3 8 -1 2 -4 14 +2 6 -2 Keen Sight: The hawk has advantage on Wisdom ( Perception ) checks that rely on sight. Actions Talons: +5 to hit, reach 5 ft., one target. Inflicts 1 slashing damage. 4 Ogres (5) CR: 2 (450 XP) AC: 11 (hide armor) HP: (7d10 + 21) Speed: Walk 40 ft. STR DEX CON INT WIS CHA 19 +5 8 -1 16 +3 5 -3 7 -2 7 -2 Senses: darkvision 60 ft. Alignment: Chaotic Evil Languages: Common, Giant Actions Greatclub: +6 to hit, reach 5 ft., one target. Inflicts 13 ( 2d8 + 4 ) bludgeoning damage. Javelin: +6 to hit, reach 5 ft. or range 30/120 ft., one target. Inflicts 11 ( 2d6 + 4 ) piercing damage. Regional Weather 2d6 All Seasons 2 Snowstorm 3-4 Heavy Snow 5-9 Snowy 10-11 Fog & Frost 12 Freezing † There's a 1-in-6 chance once a day for an avalanche"
Yp6kyHyy,E2S5,Vicious Crags,The Lands of Vo'il,Graveyard,"> The Lands of Vo'il > Vicious Crags > Hex E2S5 Small unexplained earthquakes tremble the rocks here a few times a day. Loose rocks and boulders may block the pathways, or even worse, fall from above unexpectedly. Dozens of old and aged tombstones stand hidden near the base of a steep cliff.  There'a a 1-in-6 chance that 4 Ghasts will rise up from the graves if staying here overnight, or 3-in-6 chance if digging up the graves: Ghast CR: 2 (450 XP) AC: 13 HP: (8d8) Speed: Walk 30 ft. STR DEX CON INT WIS CHA 16 +3 17 +4 10 11 +1 10 8 -1 Immunities: poison Senses: darkvision 60 ft. Alignment: Chaotic Evil Languages: Common Stench: Any creature that starts its turn within 5 feet of the ghast must succeed on a DC10 Constitution saving throw or be poisoned until the start of its next turn. On a successful saving throw, the creature is immune to the ghast's Stench for 24 hours. Turn Defiance: The ghast and any ghouls within 30 feet of it have advantage on saving throws against effects that turn undead. Actions Bite: +3 to hit, reach 5 ft., one creature. Inflicts 12 ( 2d8 + 3 ) piercing damage. Claws: +5 to hit, reach 5 ft., one target. Inflicts 10 ( 2d6 + 3 ) slashing damage. If the target is a creature other than an undead, it must succeed on a DC10 Constitution saving throw or be paralyzed for 1 minute. The target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. Hoard inside the graves: 164 gp in coins 600 gp worth of gemstones (50gp each): Onyx , Sardonyx , Carnelian , 2 × Chalcedony , Moonstone , 2 × Zircon , 2 × Citrine , 2 × Quartz Magic Items: Potion of invulnerability, Scroll 4th of Blight (Druid, Sorcerer, Wizard) Regional Weather 2d6 All Seasons 2 Snowstorm 3-4 Heavy Snow 5-9 Snowy 10-11 Fog & Frost 12 Freezing † There's a 1-in-6 chance once a day for an avalanche"
dvoB9S2H,E2S7,Vicious Crags,The Lands of Vo'il,Ettins,"> The Lands of Vo'il > Vicious Crags > Hex E2S7 Coniferous trees shroud the trail, snowy boughs creaking beneath the weight of their wintery burden. A single post marks a fork in the ancient road, the signage weathered beyond legibility. 2 Ettins are foraging across a seemingly bottomless chasm, where a rope bridge meets an overhang. There’s a 2-in-6 chance of encountering at least some of them outside, tracking someone or something (the rest will be in their lair inside an old forgotten gold mine). Ettin CR: 4 (1100 XP) AC: 12 (natural armor) HP: (10d10 + 30) Speed: Walk 40 ft. STR DEX CON INT WIS CHA 21 +6 8 -1 17 +4 6 -2 10 8 -1 Senses: darkvision 60 ft. Alignment: Chaotic Evil Languages: Giant, Orc Two Heads: The ettin has advantage on Wisdom ( Perception ) checks and on saving throws against being blinded , charmed , deafened , frightened , stunned , and knocked unconscious . Wakeful: When one of the ettin's heads is asleep, its other head is awake. Actions Multiattack: The ettin makes two attacks: one with its battleaxe and one with its morningstar. Battleaxe: +7 to hit, reach 5 ft., one target. Inflicts 14 ( 2d8 + 5 ) slashing damage. Morningstar: +7 to hit, reach 5 ft., one target. Inflicts 14 ( 2d8 + 5 ) piercing damage. Lair hoard ( 1-in-6 base chance of finding if an encounter occured, or a succesfull DC18 Investigation check): 218 gp in coins 350 gp worth of gemstones (50gp each): 2 × Onyx , Carnelian , Chrysoprase , Moonstone , 2 × Zircon Regional Weather 2d6 All Seasons 2 Snowstorm 3-4 Heavy Snow 5-9 Snowy 10-11 Fog & Frost 12 Freezing † There's a 1-in-6 chance once a day for an avalanche"
Im9eWoNA,E3S6,Vicious Crags,The Lands of Vo'il,Signaling Tower,"> The Lands of Vo'il > Vicious Crags > Hex E3S6 A goat skull sits upon a large, flat rock at the peak of the mountain, its hollow eyes gazing out across the valley below. There’s a wood-made signaling tower near the base of a steep cliff.  Finding the tower will eliminate any risk of getting lost in this region. Random encounter There's a 1 in 6 chance when exploring (or 2 in 6 chance if camping overnight) to be ambushed or preyed upon by: 1d4 Encounter Stats 1 Goats (6) CR: 0 (10 XP) AC: 10 HP: (1d8) Speed: Walk 40 ft. STR DEX CON INT WIS CHA 12 +1 10 11 +1 2 -4 10 5 -3 Charge: If the goat moves at least 20 feet straight toward a target and then hits it with a ram attack on the same turn, the target takes an extra 2 ( 1d4 ) bludgeoning damage. If the target is a creature, it must succeed on a DC10 Strength saving throw or be knocked prone . Sure-Footed: The goat has advantage on Strength and Dexterity saving throws made against effects that would knock it prone . Actions Ram: +3 to hit, reach 5 ft., one target. Inflicts 3 ( 1d4 + 1 ) bludgeoning damage. 2 Veterans (5) CR: 3 (700 XP) AC: 17 (splint armor) HP: (9d8 + 18) Speed: Walk 30 ft. STR DEX CON INT WIS CHA 16 +3 13 +2 14 +2 10 11 +1 10 Alignment: Any Languages: any one language (usually Common) Actions Multiattack: The veteran makes two longsword attacks. If it has a shortsword drawn, it can also make a shortsword attack. Longsword: +5 to hit, reach 5 ft., one target. Inflicts 7 ( 1d8 + 3 ) slashing damage, or 8 ( 1d10 + 3 ) slashing damage if used with two hands. Shortsword: +5 to hit, reach 5 ft., one target. Inflicts 6 ( 1d6 + 3 ) piercing damage. Heavy Crossbow: +3 to hit, range 100/400 ft., one target. Inflicts 6 ( 1d10 + 1 ) piercing damage. 3 Berserkers (5) CR: 2 (450 XP) AC: 13 (hide armor) HP: (9d8 + 27) Speed: Walk 30 ft. STR DEX CON INT WIS CHA 16 +3 12 +1 17 +4 9 -1 11 +1 9 -1 Alignment: Chaotic Good Neutral Evil Languages: any one language (usually Common) Reckless: At the start of its turn, the berserker can gain advantage on all melee weapon attack rolls during that turn, but attack rolls against it have advantage until the start of its next turn. Actions Greataxe: +5 to hit, reach 5 ft., one target. Inflicts 9 ( 1d12 + 3 ) slashing damage. 4 Goblins (9) CR: 1/4 (50 XP) AC: 15 (leather armor,shield) HP: (2d6) Speed: Walk 30 ft. STR DEX CON INT WIS CHA 8 -1 14 +2 10 10 8 -1 8 -1 Senses: darkvision 60 ft. Alignment: Neutral Evil Languages: Common, Goblin Nimble Escape: The goblin can take the Disengage or Hide action as a bonus action on each of its turns. Actions Scimitar: +4 to hit, reach 5 ft., one target. Inflicts 5 ( 1d6 + 2 ) slashing damage. Shortbow: +4 to hit, range 80/320 ft., one target. Inflicts 5 ( 1d6 + 2 ) piercing damage. Regional Weather 2d6 All Seasons 2 Snowstorm 3-4 Heavy Snow 5-9 Snowy 10-11 Fog & Frost 12 Freezing † There's a 1-in-6 chance once a day for an avalanche"
NyOM59w6,E2S6,Ragthorn Woods,The Lands of Vo'il,Will-o'-Wisps,"> The Lands of Vo'il > Ragthorn Woods > Hex E2S6 Ropes tangle down from the branches here. On some of them, human-sized straw-made figures are hanging by their canvas covered heads. 2 Will-o'-Wisps are sleeping next to a clearing. There’s a 2-in-6 chance of encountering at least some of them outside (the rest will be in their lair inside an old forgotten gold mine). Will-o'-Wisp CR: 2 (450 XP) AC: 19 HP: (9d4) Speed: Walk 0 ft. Fly 50 ft. (hover) STR DEX CON INT WIS CHA 1 -5 28 +9 10 13 +2 14 +2 11 +1 Immunities: lightning and poison Senses: darkvision 120 ft. Alignment: Chaotic Evil Languages: the languages it knew in life Consume Life: As a bonus action, the will-o'-wisp can target one creature it can see within 5 feet of it that has 0 hit points and is still alive. The target must succeed on a DC10 Constitution saving throw against this magic or die. If the target dies, the will-o'-wisp regains 10 ( 3d6 ) hit points. Ephemeral: The will-o'-wisp can't wear or carry anything. Incorporeal Movement: The will-o'-wisp can move through other creatures and objects as if they were TAG:quickref. It takes 5 ( 1d10 ) force damage if it ends its turn inside an object. Variable Illumination: The will-o'-wisp sheds bright light in a 5 to 20-foot radius and dim light for an additional number of ft. equal to the chosen radius. The will-o'-wisp can alter the radius as a bonus action. Actions Shock: +4 to hit, reach 5 ft., one creature. Inflicts 9 ( 2d8 ) lightning damage. Invisibility: The will-o'-wisp and its light magically become invisible until it attacks or uses its Consume Life, or until its TAG:status ends (as if TAG:status on a spell). Lair hoard ( 1-in-6 base chance of finding if an encounter occured, or a succesfull DC18 Investigation check): 238 gp in coins 125 gp worth of artifacts (25gp each): 3 × Embroidered silk handkerchief, Small gold bracelet, Small mirror set in a painted wooden frame Magic Items: Oil of slipperiness Regional Weather 2d6 Warm Season Dry Season Wet Season Cold Season 2 Partly Cloudy Clear Stormy Blizzard 3-4 Clear Clear Rain & Wind Snowstorm 5-9 Clear Clear & Breezy Rainy Snowy 10-11 Clear & Breezy Clear & Breezy Drizzling Fog & Frost 12 Clear & Breezy Partly Cloudy Cloudy Frost"
HhU05XPZ,E1S7,Ragthorn Woods,The Lands of Vo'il,Wagons,"> The Lands of Vo'il > Ragthorn Woods > Hex E1S7 Carved into the base of a titanic tree, the Citadel of Hoviir is a truly breath-taking sight. Banners of woven vines decorate the towers, and guards clad in polished emerald armour patrol the battlements. Five heavily damaged wagons were left to decay deep in the woods. Random encounter There's a 1 in 6 chance when exploring (or 2 in 6 chance if camping overnight) to be ambushed or preyed upon by: 1d4 Encounter Stats 1 Swarm of Insects CR: 1/2 (100 XP) AC: 12 (natural armor) HP: (5d8) Speed: Walk 20 ft. Climb 20 ft. STR DEX CON INT WIS CHA 3 -4 13 +2 10 1 -5 7 -2 1 -5 Senses: blindsight 10 ft. Swarm: The swarm can occupy another creature's space and vice versa, and the swarm can move through any opening large enough for a Tiny insect. The swarm can't regain hit points or gain temporary hit points. Actions Bites: +3 to hit, reach 0 ft., one target in the swarm's space. Inflicts 10 ( 4d4 ) piercing damage, or 5 ( 2d4 ) piercing damage if the swarm has half of its hit points or fewer. 2 Tribal Warriors (12) CR: 1/8 (25 XP) AC: 12 (hide armor) HP: (2d8 + 2) Speed: Walk 30 ft. STR DEX CON INT WIS CHA 13 +2 11 +1 12 +1 8 -1 11 +1 8 -1 Alignment: Any Languages: any one language Pack Tactics: The warrior has advantage on an attack roll against a creature if at least one of the warrior's allies is within 5 feet of the creature and the ally isn't incapacitated . Actions Spear: +3 to hit, reach 5 ft. or range 20/60 ft., one target. Inflicts 4 ( 1d6 + 1 ) piercing damage, or 5 ( 1d8 + 1 ) piercing damage if used with two hands to make a melee attack. 3 Scout CR: 1/2 (100 XP) AC: 13 (leather armor) HP: (3d8 + 3) Speed: Walk 30 ft. STR DEX CON INT WIS CHA 11 +1 14 +2 12 +1 11 +1 13 +2 11 +1 Alignment: Any Languages: any one language (usually Common) Keen Hearing and Sight: The scout has advantage on Wisdom ( Perception ) checks that rely on hearing or sight. Actions Multiattack: The scout makes two melee attacks or two ranged attacks. Shortsword: +4 to hit, reach 5 ft., one target. Inflicts 5 ( 1d6 + 2 ) piercing damage. Longbow: +4 to hit, ranged 150/600 ft., one target. Inflicts 6 ( 1d8 + 2 ) piercing damage. 4 Orcs (10) CR: 1/2 (100 XP) AC: 13 (hide armor) HP: (2d8 + 6) Speed: Walk 30 ft. STR DEX CON INT WIS CHA 16 +3 12 +1 16 +3 7 -2 11 +1 10 Senses: darkvision 60 ft. Alignment: Chaotic Evil Languages: Common, Orc Aggressive: As a bonus action, the orc can move up to its speed toward a hostile creature that it can see. Actions Greataxe: +5 to hit, reach 5 ft., one target. Inflicts 9 ( 1d12 + 3 ) slashing damage. Javelin: +5 to hit, reach 5 ft. or range 30/120 ft., one target. Inflicts 6 ( 1d6 + 3 ) piercing damage. Regional Weather 2d6 Warm Season Dry Season Wet Season Cold Season 2 Partly Cloudy Clear Stormy Blizzard 3-4 Clear Clear Rain & Wind Snowstorm 5-9 Clear Clear & Breezy Rainy Snowy 10-11 Clear & Breezy Clear & Breezy Drizzling Fog & Frost 12 Clear & Breezy Partly Cloudy Cloudy Frost"
